polling_station_id,address,longitude,latitude,area_name
75,花蓮縣花蓮市國盛里21鄰國盛二街22號,121.6072723,23.9923019,國盛里
76,花蓮縣花蓮市國裕里27鄰裕祥路89號,121.5993702,23.9974094,國強里
77,花蓮縣花蓮市國強里6鄰豐村78之2號,121.6062192,24.0115711,國強里
78,花蓮縣花蓮市國富里41鄰中山路903號,121.5946123,23.9950295,富里村
78,花蓮縣花蓮市國富里41鄰中山路903號,121.5946123,23.9950295,國富里
79,花蓮縣花蓮市國富里41鄰中山路903號,121.5946123,23.9950295,富里村
79,花蓮縣花蓮市國富里41鄰中山路903號,121.5946123,23.9950295,國富里
80,花蓮縣花蓮市國富里40鄰富祥街12號,121.5942471,23.9938555,富里村
80,花蓮縣花蓮市國富里40鄰富祥街12號,121.5942471,23.9938555,國富里
81,花蓮縣花蓮市國富里41鄰中山路903號,121.5946123,23.9950295,富里村
81,花蓮縣花蓮市國富里41鄰中山路903號,121.5946123,23.9950295,國富里
82,花蓮縣花蓮市國富里41鄰中山路903號,121.5946123,23.9950295,富里村
82,花蓮縣花蓮市國富里41鄰中山路903號,121.5946123,23.9950295,國富里
83,花蓮縣花蓮市國裕里27鄰裕祥路89號,121.5993702,23.9974094,國裕里
84,花蓮縣花蓮市國裕里27鄰裕祥路89號,121.5993702,23.9974094,國裕里
85,花蓮縣花蓮市國裕里27鄰裕祥路89號,121.5993702,23.9974094,國裕里
86,花蓮縣花蓮市國裕里27鄰裕祥路89號,121.5993702,23.9974094,國裕里
87,花蓮縣花蓮市國慶里10鄰中山路一段25號,121.5932192,23.9972671,國慶里
88,花蓮縣花蓮市國興里17鄰介仁街67號,121.5719634,23.999373,國興里
89,花蓮縣花蓮市國興里17鄰介禮街46號,121.5730676,23.99748,國興里
90,花蓮縣花蓮市國興里17鄰介仁街67號,121.5719634,23.999373,國興里
91,花蓮縣花蓮市國興里17鄰介仁街67號,121.5719634,23.999373,國興里
92,花蓮縣花蓮市國福里6鄰中山路二段1號,121.5830127,24.0101137,國福里
93,花蓮縣花蓮市國福里6鄰沙基拉雅街111號,121.581827,24.0103762,國福里
229,花蓮縣鳳林鎮鳳仁里3鄰公園路70號,121.6123404,23.9774988,鳳仁里
229,花蓮縣鳳林鎮鳳仁里3鄰公園路70號,121.6123404,23.9774988,仁里村
230,花蓮縣鳳林鎮鳳義里6鄰水源路36號,121.4412634,23.7481414,鳳義里
231,花蓮縣鳳林鎮鳳智里1鄰大同街7號之1,121.4514096,23.7458539,鳳禮里
232,花蓮縣鳳林鎮鳳智里1鄰公正街8號,121.4520679,23.7451529,鳳智里
233,花蓮縣鳳林鎮鳳信里2鄰中正路一段120巷24號,121.4387364,23.7274545,鳳信里
234,花蓮縣鳳林鎮鳳智里25鄰中正路二段1號,121.4466892,23.7430618,鳳信里
235,花蓮縣鳳林鎮山興里6鄰山文路5號,121.6015714,23.9871589,山興里
236,花蓮縣鳳林鎮山興里15鄰中興路82號,121.6015714,23.9871589,山興里
237,花蓮縣鳳林鎮大榮里10鄰復興路69號,121.467772,23.7523647,大榮里
238,花蓮縣鳳林鎮大榮里18鄰大榮二路44號,121.4572652,23.7454419,大榮里
239,花蓮縣鳳林鎮北林里6鄰民和路1號,121.4710203,23.7672373,北林里
240,花蓮縣鳳林鎮南平里7鄰自強路368之1號,121.4589597,23.7823136,南平里
241,花蓮縣鳳林鎮林榮里10鄰永康路10號,121.4520922,23.8024055,林榮里
242,花蓮縣鳳林鎮長橋里14鄰長橋路6號,121.4195614,23.7098607,長橋里
243,花蓮縣鳳林鎮森榮里7鄰林森路99巷98號,121.3989548,23.7180886,森榮里
288,花蓮縣玉里鎮中城里11鄰中山路一段1號,121.3171679,23.3247225,中城里
289,花蓮縣玉里鎮中城里4鄰忠智路72號,121.3199118,23.3286375,中城里
290,花蓮縣玉里鎮中城里4鄰忠智路43號,121.3194064,23.3289912,中城里
291,花蓮縣玉里鎮中城里4鄰忠智路43號,121.3194064,23.3289912,中城里
292,花蓮縣玉里鎮中城里11鄰中山路一段1號,121.3171679,23.3247225,中城里
293,花蓮縣玉里鎮中城里11鄰中山路一段1號,121.3171679,23.3247225,中城里
294,花蓮縣玉里鎮中城里11鄰大同路2號,121.317182,23.325401,中城里
295,花蓮縣玉里鎮啟模里27鄰民權街50號,121.316061,23.3356307,國武里
296,花蓮縣玉里鎮泰昌里1鄰中正路144號,121.3069787,23.3374623,國武里
297,花蓮縣玉里鎮啟模里27鄰五權街1號,121.3160651,23.3362869,啟模里
298,花蓮縣玉里鎮啟模里27鄰民權街50號,121.316061,23.3356307,啟模里
299,花蓮縣玉里鎮泰昌里7鄰民族街30號,121.3129105,23.3353266,泰昌里
300,花蓮縣玉里鎮泰昌里7鄰民族街30號,121.3129105,23.3353266,泰昌里
301,花蓮縣玉里鎮永昌里11鄰莊敬路18號,121.3182377,23.3414731,永昌里
302,花蓮縣玉里鎮永昌里13鄰中華路424號,121.3189553,23.3459632,永昌里
303,花蓮縣玉里鎮大禹里4鄰酸柑88之1號,121.324116,23.363609,大禹里
304,花蓮縣玉里鎮大禹里21鄰大禹226號,121.3245,23.380612,大禹里
305,花蓮縣玉里鎮三民里13鄰三民131之2號,121.347474,23.43088,三民里
306,花蓮縣玉里鎮源城里5鄰客城69之1號,121.308701,23.317251,源城里
307,花蓮縣玉里鎮源城里12鄰水源57之2號,121.303082,23.33162,源城里
308,花蓮縣玉里鎮長良里8鄰長良143之1號,121.28763,23.276717,長良里
309,花蓮縣玉里鎮樂合里13鄰樂合65之5號,121.344915,23.319821,樂合里
310,花蓮縣玉里鎮東豐里1鄰石崗11之1號,121.3397179,23.3359099,東豐里
311,花蓮縣玉里鎮觀音里4鄰高寮92號,121.3589776,23.3829887,觀音里
312,花蓮縣玉里鎮觀音里16鄰觀音9之1號,121.356556,23.3950726,觀音里
313,花蓮縣玉里鎮松浦里2鄰松浦39號,121.373428,23.428071,松浦里
314,花蓮縣玉里鎮松浦里12鄰松浦214之3號,121.373428,23.428071,松浦里
315,花蓮縣玉里鎮春日里11鄰神農75之1號,121.388689,23.459209,春日里
316,花蓮縣玉里鎮德武里5鄰能雅79號,121.403183,23.468275,德武里
94,花蓮縣新城鄉新城村18鄰新興一街62號,121.6451824,24.1301503,新城村
95,花蓮縣新城鄉新城村4鄰博愛路66號,121.6501318,24.1286942,新城村
96,花蓮縣新城鄉順安村12鄰草林84之1號,121.638022,24.1165839,順安村
97,花蓮縣新城鄉順安村北三棧52之2號,121.619492,24.106005,順安村
98,花蓮縣新城鄉康樂村36鄰康樂一街38號,121.6078072,24.0520949,康樂村
99,花蓮縣新城鄉康樂村6鄰廣安一街112號,121.6097416,24.053209,康樂村
100,花蓮縣新城鄉康樂村2鄰大漢街390號,121.6083761,24.049529,康樂村
101,花蓮縣新城鄉大漢村32鄰大安街1號,121.6039996,24.0395339,大漢村
102,花蓮縣新城鄉大漢村19鄰民有街101號,121.6099816,24.0367838,大漢村
103,花蓮縣新城鄉大漢村4鄰明潭街27號,121.6301942,24.0269321,大漢村
104,花蓮縣新城鄉新秀村1鄰光復路489號,121.6041058,24.0371433,新秀村
105,花蓮縣新城鄉新秀村12鄰樹林街57巷9號,121.5993548,24.0404523,新秀村
106,花蓮縣新城鄉北埔村25鄰北埔路259號,121.6032954,24.0339872,北埔村
107,花蓮縣新城鄉北埔村16鄰北埔路143號,121.60197,24.0342594,北埔村
108,花蓮縣新城鄉北埔村9鄰北埔路170號,121.6047798,24.0317943,北埔村
109,花蓮縣新城鄉佳林村8鄰民有二街29號,121.6023021,24.021136,佳林村
110,花蓮縣新城鄉嘉里村嘉里二街31巷20號,121.6081,24.0172944,嘉里村
111,花蓮縣新城鄉嘉里村3鄰嘉里三街28號,121.6092336,24.0149237,嘉里村
112,花蓮縣新城鄉嘉里村3鄰嘉里三街28號,121.6092336,24.0149237,嘉里村
113,花蓮縣新城鄉嘉里村21鄰嘉里二街74號,121.6084743,24.0186869,嘉里村
114,花蓮縣新城鄉嘉新村10鄰嘉新路36號,121.613301,24.0079457,嘉新村
115,花蓮縣新城鄉嘉新村6鄰嘉南一街43巷5號,121.6122869,24.0051177,嘉新村
137,花蓮縣吉安鄉太昌村11鄰明義五街1號,121.5646366,23.9950365,太昌村
138,花蓮縣吉安鄉太昌村11鄰太昌路488號,121.5639922,23.9935166,太昌村
139,花蓮縣吉安鄉太昌村20鄰明仁三街825巷10號,121.5574543,23.9922587,太昌村
140,花蓮縣吉安鄉永安村20鄰太昌路204號,121.5730001,23.988978,永安村
141,花蓮縣吉安鄉永安村20鄰太昌路204號,121.5730001,23.988978,永安村
142,花蓮縣吉安鄉永安村20鄰太昌路204號,121.5730001,23.988978,永安村
143,花蓮縣吉安鄉永安村22鄰太昌路202號,121.5731004,23.9891315,永安村
144,花蓮縣吉安鄉北昌村16鄰建昌路45號,121.5950977,23.9871293,北昌村
145,花蓮縣吉安鄉北昌村16鄰建昌路45號,121.5950977,23.9871293,北昌村
146,花蓮縣吉安鄉北昌村39鄰自強路533號,121.5914025,23.9874631,北昌村
147,花蓮縣吉安鄉北昌村39鄰自強路533號,121.5914025,23.9874631,北昌村
148,花蓮縣吉安鄉北昌村39鄰自強路533號,121.5914025,23.9874631,北昌村
149,花蓮縣吉安鄉北昌村39鄰自強路533號,121.5914025,23.9874631,北昌村
150,花蓮縣吉安鄉北昌村39鄰自強路533號,121.5914025,23.9874631,北昌村
151,花蓮縣吉安鄉勝安村23鄰慈惠一街30號,121.586779,23.9754388,勝安村
152,花蓮縣吉安鄉勝安村23鄰慈惠一街30號,121.586779,23.9754388,勝安村
153,花蓮縣吉安鄉勝安村19鄰慈惠三街136號,121.585897,23.9779366,勝安村
154,花蓮縣吉安鄉勝安村18鄰慈惠四街168號,121.5870673,23.978447,勝安村
155,花蓮縣吉安鄉勝安村19鄰慈惠三街118號,121.5867297,23.9774811,勝安村
156,花蓮縣吉安鄉宜昌村1鄰宜昌一街45號,121.5856959,23.9708378,宜昌村
157,花蓮縣吉安鄉宜昌村1鄰宜昌一街45號,121.5856959,23.9708378,宜昌村
158,花蓮縣吉安鄉宜昌村26鄰吉祥六街52巷9號,121.5831664,23.9756026,宜昌村
159,花蓮縣吉安鄉宜昌村20鄰中華路二段167號,121.5823007,23.9734659,宜昌村
160,花蓮縣吉安鄉南昌村4鄰文化七街62之1號,121.5798665,23.9705185,南昌村
161,花蓮縣吉安鄉南昌村24鄰文化五街43號,121.5812244,23.9700061,南昌村
